experiment,pipeline,run_name,target_level,total_samples,exact_match_count,partial_match_count,complete_mismatch_count,emr
exp2,dl,bilstm_indobert_fine_hid256,fine,3049,379,1253,1417,0.1243
exp2,dl,cnn_fasttext_basic_filt100,basic,3049,985,1239,825,0.3231
exp2,dl,cnn_fasttext_fine_filt100,fine,3049,439,1336,1274,0.144
exp2,dl,cnn_indobert_basic_filt100,basic,3049,983,1087,979,0.3224
exp2,dl,cnn_indobert_fine_filt100,fine,3049,237,1318,1494,0.0777
exp2,traditional,BR_Basic_Bigram_BoW_LR,unknown,3049,1058,984,1007,0.347
exp2,traditional,BR_Basic_Bigram_BoW_NB,unknown,3049,996,821,1232,0.3267
exp2,traditional,BR_Basic_Bigram_BoW_SVM,unknown,3049,852,242,1955,0.2794
exp2,traditional,BR_Basic_Bigram_TFIDF_LR,unknown,3049,1150,903,996,0.3772
exp2,traditional,BR_Basic_Bigram_TFIDF_NB,unknown,3049,851,219,1979,0.2791
exp2,traditional,BR_Basic_Bigram_TFIDF_SVM,unknown,3049,982,267,1800,0.3221
exp2,traditional,BR_Basic_Trigram_BoW_LR,unknown,3049,1014,1074,961,0.3326
exp2,traditional,BR_Basic_Trigram_BoW_NB,unknown,3049,1009,809,1231,0.3309
exp2,traditional,BR_Basic_Trigram_BoW_SVM,unknown,3049,852,242,1955,0.2794
exp2,traditional,BR_Basic_Trigram_TFIDF_LR,unknown,3049,1114,1007,928,0.3654
exp2,traditional,BR_Basic_Trigram_TFIDF_NB,unknown,3049,800,204,2045,0.2624
exp2,traditional,BR_Basic_Trigram_TFIDF_SVM,unknown,3049,976,266,1807,0.3201
exp2,traditional,BR_Basic_Unigram_BoW_LR,unknown,3049,920,1185,944,0.3017
exp2,traditional,BR_Basic_Unigram_BoW_NB,unknown,3049,1004,733,1312,0.3293
exp2,traditional,BR_Basic_Unigram_BoW_SVM,unknown,3049,873,243,1933,0.2863
exp2,traditional,BR_Basic_Unigram_TFIDF_LR,unknown,3049,1102,993,954,0.3614
exp2,traditional,BR_Basic_Unigram_TFIDF_NB,unknown,3049,811,207,2031,0.266
exp2,traditional,BR_Basic_Unigram_TFIDF_SVM,unknown,3049,1000,257,1792,0.328
exp2,traditional,BR_Fine_Bigram_BoW_LR,unknown,3049,519,1025,1505,0.1702
exp2,traditional,BR_Fine_Bigram_BoW_NB,unknown,3049,346,854,1849,0.1135
exp2,traditional,BR_Fine_Bigram_BoW_SVM,unknown,3049,270,125,2654,0.0886
exp2,traditional,BR_Fine_Bigram_TFIDF_LR,unknown,3049,507,1020,1522,0.1663
exp2,traditional,BR_Fine_Bigram_TFIDF_NB,unknown,3049,116,47,2886,0.038
exp2,traditional,BR_Fine_Bigram_TFIDF_SVM,unknown,3049,294,123,2632,0.0964
exp2,traditional,BR_Fine_Trigram_BoW_LR,unknown,3049,522,1067,1460,0.1712
exp2,traditional,BR_Fine_Trigram_BoW_NB,unknown,3049,361,785,1903,0.1184
exp2,traditional,BR_Fine_Trigram_BoW_SVM,unknown,3049,265,124,2660,0.0869
exp2,traditional,BR_Fine_Trigram_TFIDF_LR,unknown,3049,505,1022,1522,0.1656
exp2,traditional,BR_Fine_Trigram_TFIDF_NB,unknown,3049,98,33,2918,0.0321
exp2,traditional,BR_Fine_Trigram_TFIDF_SVM,unknown,3049,294,119,2636,0.0964
exp2,traditional,BR_Fine_Unigram_BoW_LR,unknown,3049,512,1002,1535,0.1679
exp2,traditional,BR_Fine_Unigram_BoW_NB,unknown,3049,356,776,1917,0.1168
exp2,traditional,BR_Fine_Unigram_BoW_SVM,unknown,3049,275,123,2651,0.0902
exp2,traditional,BR_Fine_Unigram_TFIDF_LR,unknown,3049,485,1041,1523,0.1591
exp2,traditional,BR_Fine_Unigram_TFIDF_NB,unknown,3049,64,17,2968,0.021
exp2,traditional,BR_Fine_Unigram_TFIDF_SVM,unknown,3049,293,123,2633,0.0961
exp2,traditional,LP_Basic_Bigram_BoW_LR,unknown,3049,1438,399,1212,0.4716
exp2,traditional,LP_Basic_Bigram_BoW_NB,unknown,3049,1401,406,1242,0.4595
exp2,traditional,LP_Basic_Bigram_BoW_SVM,unknown,3049,1412,345,1292,0.4631
exp2,traditional,LP_Basic_Bigram_TFIDF_LR,unknown,3049,1511,354,1184,0.4956
exp2,traditional,LP_Basic_Bigram_TFIDF_NB,unknown,3049,1377,335,1337,0.4516
exp2,traditional,LP_Basic_Bigram_TFIDF_SVM,unknown,3049,1472,357,1220,0.4828
exp2,traditional,LP_Basic_Trigram_BoW_LR,unknown,3049,1443,393,1213,0.4733
exp2,traditional,LP_Basic_Trigram_BoW_NB,unknown,3049,1392,393,1264,0.4565
exp2,traditional,LP_Basic_Trigram_BoW_SVM,unknown,3049,1412,348,1289,0.4631
exp2,traditional,LP_Basic_Trigram_TFIDF_LR,unknown,3049,1510,352,1187,0.4952
exp2,traditional,LP_Basic_Trigram_TFIDF_NB,unknown,3049,1355,332,1362,0.4444
exp2,traditional,LP_Basic_Trigram_TFIDF_SVM,unknown,3049,1476,356,1217,0.4841
exp2,traditional,LP_Basic_Unigram_BoW_LR,unknown,3049,1422,381,1246,0.4664
exp2,traditional,LP_Basic_Unigram_BoW_NB,unknown,3049,1406,400,1243,0.4611
exp2,traditional,LP_Basic_Unigram_BoW_SVM,unknown,3049,1415,340,1294,0.4641
exp2,traditional,LP_Basic_Unigram_TFIDF_LR,unknown,3049,1493,344,1212,0.4897
